HOURLYVISIBILITY,HOURLYDRYBULBTEMPC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYPrecip,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYSunrise,DAILYSunset,DAILYPrecip,DAILYAverageWindSpeed,DAILYPeakWindSpeed,started_on,created_date,updated_date,completed_on,distance_travelled,end_location_lat,end_location_long,driver_rating,rider_rating,active_driver_id,charity_id,requested_car_category,free_credit_used,surge_factor,start_location_long,start_location_lat,rider_id,round_up_amount,promocode_redemption_id,driver_reached_on,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driver_accepted_on,esimtated_time_arrive,tipped_on,tip,driving_time_to_rider,dispatch_location_lat,dispatch_location_long,driving_distance_to_rider,dispatched_on,status,driver_id,car_id,color,make,model,year,car_categories_bitmask,rating
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:46-06:00,2017-01-15 14:00:56-06:00,2017-01-15 14:33:47-06:00,2017-01-15 14:28:35-06:00,2470.0,30.261,-97.738,5.0,5.0,328418,25.0,b'PREMIUM',,1.0,-97.751,30.269,125041,0.42,,2017-01-15 14:12:48-06:00,3.0,14.0,2.75,0.4,4.73,2017-01-15 08:00:58-06:00,1969-12-31 18:00:00.000000136-06:00,2017-01-15 20:33:44,5.0,136.0,-97.738,-97.738,297.0,2017-01-15 20:00:56,b'DISPATCHED',928,928,b'Black',b'Chevrolet',b'Tahoe',b'2016',7,4.93
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:17:13-06:00,2017-01-15 14:08:41-06:00,2017-01-15 17:16:33-06:00,2017-01-15 14:25:28-06:00,3733.0,30.26,-97.735,5.0,4.0,328362,,b'REGULAR',,1.0,-97.739,30.241,135974,0.0,,2017-01-15 14:12:11-06:00,1.5,7.44,0.99,0.25,2.07,2017-01-15 08:08:48-06:00,1969-12-31 18:00:00.000000280-06:00,,,280.0,-97.735,-97.735,1410.0,2017-01-15 20:08:41,b'DISPATCHED',3402,3402,b'Blue',b'Hyundai',b'Sonata',b'2015',1,4.87
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:17:27-06:00,2017-01-15 14:08:37-06:00,2017-01-21 04:47:37-06:00,2017-01-15 14:34:23-06:00,17937.0,30.203,-97.668,5.0,5.0,328514,,b'REGULAR',,1.0,-97.748,30.264,159139,0.0,,2017-01-15 14:17:01-06:00,1.5,18.45,0.99,0.25,4.24,2017-01-15 08:08:42-06:00,1969-12-31 18:00:00.000000220-06:00,,,220.0,-97.668,-97.668,723.0,2017-01-15 20:08:37,b'DISPATCHED',1272,1272,b'Black',b'Honda',b'CR-V',b'2003',1,4.83
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:17:33-06:00,2017-01-15 14:13:50-06:00,2017-01-15 15:07:50-06:00,2017-01-15 14:21:40-06:00,1449.0,30.31,-97.731,5.0,1.0,328205,,b'REGULAR',5.56,1.0,-97.741,30.317,159772,0.0,,2017-01-15 14:17:01-06:00,1.5,5.56,0.99,0.25,1.03,2017-01-15 08:13:57-06:00,1969-12-31 18:00:00.000000165-06:00,,,165.0,-97.731,-97.731,855.0,2017-01-15 20:13:50,b'DISPATCHED',2607,2607,b'Silver',b'Dodge',b'Avenger',b'2012',1,4.54
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:17:46-06:00,2017-01-15 14:13:51-06:00,2017-02-03 19:17:38-06:00,2017-01-15 14:28:40-06:00,7158.0,30.258,-97.788,5.0,5.0,328515,,b'SUV',,1.0,-97.742,30.263,159303,0.0,,2017-01-15 14:15:30-06:00,3.0,20.08,2.6,0.35,3.82,2017-01-15 08:13:54-06:00,1969-12-31 18:00:00.000000161-06:00,,,161.0,-97.788,-97.788,264.0,2017-01-15 20:13:52,b'DISPATCHED',203,203,b'Silver',b'Chevrolet',b'Suburban',b'2007',3,4.81
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:17:52-06:00,2017-01-15 14:14:16-06:00,2017-01-15 22:24:37-06:00,2017-01-15 14:23:48-06:00,1986.0,30.24,-97.753,5.0,5.0,328452,,b'REGULAR',,1.0,-97.737,30.232,116210,0.0,,2017-01-15 14:17:47-06:00,1.5,5.77,0.99,0.25,1.49,2017-01-15 08:14:22-06:00,1969-12-31 18:00:00.000000353-06:00,,,353.0,-97.753,-97.753,2233.0,2017-01-15 20:14:16,b'DISPATCHED',3082,3082,b'Red',b'Chevrolet',b'Trax',b'2016',1,4.88
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:17:54-06:00,2017-01-15 14:13:39-06:00,2017-01-20 11:26:52-06:00,2017-01-15 14:29:11-06:00,9885.0,30.284,-97.722,5.0,5.0,328465,,b'REGULAR',,1.0,-97.724,30.335,129537,0.0,,2017-01-15 14:17:03-06:00,1.5,12.02,0.99,0.25,2.82,2017-01-15 08:13:43-06:00,1969-12-31 18:00:00.000000174-06:00,,,174.0,-97.722,-97.722,669.0,2017-01-15 20:13:39,b'DISPATCHED',2121,2121,b'Black',b'Mercedes-Benz',b'C-Class',b'2016',5,4.87
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:18:06-06:00,2017-01-15 14:12:59-06:00,2017-01-20 01:16:57-06:00,2017-01-15 14:31:27-06:00,8101.0,30.248,-97.771,5.0,5.0,327807,,b'REGULAR',,1.0,-97.74,30.305,16812,0.0,,2017-01-15 14:16:03-06:00,1.5,11.43,0.99,0.25,3.34,2017-01-15 08:13:02-06:00,1969-12-31 18:00:00.000000285-06:00,,,285.0,-97.771,-97.771,1506.0,2017-01-15 20:13:00,b'DISPATCHED',846,846,b'Gray',b'Nissan',b'Pathfinder',b'2014',7,4.96
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:18:23-06:00,2017-01-15 14:15:47-06:00,2017-01-15 15:03:37-06:00,2017-01-15 14:27:14-06:00,3581.0,30.267,-97.744,5.0,5.0,328382,,b'REGULAR',,1.0,-97.743,30.288,47525,0.0,,2017-01-15 14:18:20-06:00,1.5,7.48,0.99,0.25,2.21,2017-01-15 08:15:50-06:00,1969-12-31 18:00:00.000000221-06:00,,,221.0,-97.744,-97.744,392.0,2017-01-15 20:15:48,b'DISPATCHED',698,698,b'Blue',b'Jeep',b'Patriot',b'2011',1,4.91
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:00-06:00,2017-01-15 14:14:25-06:00,2017-01-15 16:06:49-06:00,2017-01-15 14:30:06-06:00,7614.0,30.202,-97.772,5.0,5.0,328516,,b'REGULAR',,1.0,-97.786,30.24,69787,0.0,,2017-01-15 14:18:34-06:00,1.5,10.56,0.99,0.25,2.78,2017-01-15 08:14:29-06:00,1969-12-31 18:00:00.000000260-06:00,,,260.0,-97.772,-97.772,948.0,2017-01-15 20:14:25,b'DISPATCHED',3346,3346,b'Black',b'Buick',b'Enclave',b'2017',7,4.92
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:03-06:00,2017-01-15 14:16:07-06:00,2017-01-15 14:39:27-06:00,2017-01-15 14:34:14-06:00,16801.0,30.203,-97.666,5.0,5.0,328481,,b'REGULAR',,1.0,-97.74,30.257,155839,0.0,,2017-01-15 14:19:00-06:00,1.5,17.31,0.99,0.25,3.8,2017-01-15 08:16:12-06:00,1969-12-31 18:00:00.000000143-06:00,,,143.0,-97.666,-97.666,276.0,2017-01-15 20:16:07,b'DISPATCHED',3315,3315,b'Gray',b'Nissan',b'Altima',b'2011',1,4.74
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:06-06:00,2017-01-15 14:14:26-06:00,2017-01-15 15:33:42-06:00,2017-01-15 14:33:18-06:00,15759.0,30.203,-97.667,5.0,5.0,328517,,b'REGULAR',16.4,1.0,-97.776,30.22,160899,0.0,,2017-01-15 14:18:55-06:00,1.5,16.4,0.99,0.25,3.55,2017-01-15 08:14:50-06:00,1969-12-31 18:00:00.000000291-06:00,,,218.0,-97.667,-97.667,1701.0,2017-01-15 20:14:26,b'DECLINED',85,85,b'Black',b'Nissan',b'Versa Note',b'2014',1,4.7
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:19-06:00,2017-01-15 14:14:40-06:00,2017-01-15 14:29:41-06:00,2017-01-15 14:29:12-06:00,4212.0,30.263,-97.766,5.0,5.0,328082,16.0,b'SUV',,1.0,-97.736,30.266,159744,0.09,,2017-01-15 14:19:14-06:00,3.0,15.0,2.6,0.35,3.46,2017-01-15 08:14:56-06:00,1969-12-31 18:00:00.000000246-06:00,2017-01-15 20:29:39,3.0,185.0,-97.766,-97.766,692.0,2017-01-15 20:14:40,b'DECLINED',3355,3355,b'Silver',b'Ford',b'Explorer',b'2011',7,4.77
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:25-06:00,2017-01-15 14:12:55-06:00,2017-01-15 17:05:13-06:00,2017-01-15 14:27:17-06:00,2779.0,30.264,-97.743,5.0,5.0,328453,,b'REGULAR',6.75,1.0,-97.733,30.248,112482,0.0,,2017-01-15 14:19:22-06:00,1.5,6.75,0.99,0.25,1.97,2017-01-15 08:12:59-06:00,1969-12-31 18:00:00.000000144-06:00,,,144.0,-97.743,-97.743,315.0,2017-01-15 20:12:55,b'DISPATCHED',3105,3105,b'Gray',b'Nissan',b'Altima',b'2014',1,4.6
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:29-06:00,2017-01-15 14:17:56-06:00,2017-01-16 14:35:12-06:00,2017-01-15 14:35:04-06:00,5065.0,30.256,-97.763,,5.0,328518,37.0,b'REGULAR',,1.0,-97.732,30.265,157915,0.88,,2017-01-15 14:19:11-06:00,1.5,11.0,0.99,0.25,3.9,2017-01-15 08:17:59-06:00,1969-12-31 18:00:00.000000067-06:00,,,67.0,-97.763,-97.763,33.0,2017-01-15 20:17:56,b'DISPATCHED',1251,1251,b'Silver',b'Mazda',b'5',b'2015',3,4.87
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:44-06:00,2017-01-15 14:00:27-06:00,2017-01-15 14:47:48-06:00,2017-01-15 14:44:06-06:00,15509.0,30.266,-97.737,5.0,5.0,328519,,b'REGULAR',,1.0,-97.84,30.199,133124,0.0,,2017-01-15 14:13:23-06:00,1.5,18.82,0.99,0.25,6.09,2017-01-15 08:00:38-06:00,1969-12-31 18:00:00.000000440-06:00,2017-01-15 20:47:46,3.0,440.0,-97.737,-97.737,4634.0,2017-01-15 20:00:27,b'DISPATCHED',1330,1330,b'Silver',b'Kia',b'Specter',b'2007',1,4.52
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:47-06:00,2017-01-15 14:11:43-06:00,2017-01-15 14:36:53-06:00,2017-01-15 14:36:36-06:00,22461.0,30.258,-97.739,5.0,5.0,328369,,b'REGULAR',,1.0,-97.61,30.174,79407,0.0,,2017-01-15 14:19:45-06:00,1.5,21.24,0.99,0.25,4.21,2017-01-15 08:11:50-06:00,1969-12-31 18:00:00.000000577-06:00,2017-01-15 20:36:51,3.0,577.0,-97.739,-97.739,8928.0,2017-01-15 20:11:44,b'DISPATCHED',1856,1856,b'Blue',b'Hyundai',b'Tucson',b'2013',1,4.81
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:19:52-06:00,2017-01-15 14:16:17-06:00,2017-01-15 14:34:47-06:00,2017-01-15 14:32:56-06:00,13008.0,30.277,-97.729,5.0,5.0,328520,,b'REGULAR',14.41,1.0,-97.667,30.202,160900,0.0,,2017-01-15 14:19:51-06:00,1.5,14.41,0.99,0.25,3.27,2017-01-15 08:16:21-06:00,1969-12-31 18:00:00.000000381-06:00,2017-01-15 20:34:46,1.0,381.0,-97.729,-97.729,2712.0,2017-01-15 20:16:17,b'DISPATCHED',2747,2747,b'Silver',b'Toyota',b'Camry',b'2015',1,4.94
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:20:07-06:00,2017-01-15 14:07:53-06:00,2017-01-15 15:42:06-06:00,2017-01-15 14:39:35-06:00,13268.0,30.258,-97.739,2.0,5.0,328412,,b'REGULAR',,1.0,-97.772,30.313,158762,0.0,,2017-01-15 14:20:01-06:00,1.5,16.19,0.99,0.25,4.87,2017-01-15 08:07:59-06:00,1969-12-31 18:00:00.000000420-06:00,,,420.0,-97.739,-97.739,4874.0,2017-01-15 20:07:53,b'DISPATCHED',3307,3307,b'Black',b'Nissan',b'Sentra',b'2011',1,4.52
